lesson_id,filename,s3_url,cdn_url
e9-2,m-preparationcertificationstrategieecommerce-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-preparationcertificationstrategieecommerce-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-preparationcertificationstrategieecommerce-1-v1_720p_afrique.mp4
l3-1,m-referencementnaturelsiteetpagesproduits-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-referencementnaturelsiteetpagesproduits-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-referencementnaturelsiteetpagesproduits-1-v1_720p_afrique.mp4
s2-2,m-tiktocvendreproduits-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-tiktocvendreproduits-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-tiktocvendreproduits-1-v1_720p_afrique.mp4
s2-2b,m-tiktocvendreproduits-2-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-tiktocvendreproduits-2-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-tiktocvendreproduits-2-v1_720p_afrique.mp4
e1-2b,m-trouverdesproduits-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-trouverdesproduits-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-trouverdesproduits-1-v1_720p_afrique.mp4
e1-2bb,m-trouverfournisseursdropshipping-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-trouverfournisseursdropshipping-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-trouverfournisseursdropshipping-1-v1_720p_afrique.mp4
e1-2c,m-trouverproduitsdropshipping-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/m-trouverproduitsdropshipping-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/m-trouverproduitsdropshipping-1-v1_720p_afrique.mp4
e7-2,maintenance-evolution-boutique-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/maintenance-evolution-boutique-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/maintenance-evolution-boutique-1-v1_720p_afrique.mp4
e6-1b,optimisation-referencement-naturel-e-commerce-1-v2_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/optimisation-referencement-naturel-e-commerce-1-v2_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/optimisation-referencement-naturel-e-commerce-1-v2_720p_afrique.mp4
e5-2b,personnalisation-design-boutique-1-v2_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/personnalisation-design-boutique-1-v2_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/personnalisation-design-boutique-1-v2_720p_afrique.mp4
e5-2,personnalisation-design-e-commerce-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/personnalisation-design-e-commerce-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/personnalisation-design-e-commerce-1-v1_720p_afrique.mp4
e7-4,preparation-conception-site-e-commerce-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/preparation-conception-site-e-commerce-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/preparation-conception-site-e-commerce-1-v1_720p_afrique.mp4
e7-5,travailler-tunnel-achat-site-e-commerce-1-v1_720p_afrique.mp4,https://caplearning-videos.s3.eu-west-1.amazonaws.com/cap-learning/videos/travailler-tunnel-achat-site-e-commerce-1-v1_720p_afrique.mp4,https://cdn.cap-learning.com/cap-learning/videos/travailler-tunnel-achat-site-e-commerce-1-v1_720p_afrique.mp4
